rank,district,state,risk_score,dominant_hazard,dominant_hazard_score,explanation,recommendation,population_at_risk,children_under5_at_risk,adaptive_capacity,wash_sanitation_pct,wash_disruption_days
252,Amethi,Uttar Pradesh,4.81,wet-bulb heat,3.16,High wet-bulb heat hazard (3.2) compounded by poor sanitation (61%) and high population (3.9M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3918542,470225,0.766,60.9,104.3
253,Ganganagar,Rajasthan,4.81,wet-bulb heat,2.07,High wet-bulb heat hazard (2.1) compounded by high population (2.6M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2642039,303833,0.85,83.4,72.0
254,Firozabad,Uttar Pradesh,4.81,wet-bulb heat,2.62,High wet-bulb heat hazard (2.6) compounded by high population (3.9M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3922642,470717,0.788,69.0,78.3
255,Mathura,Uttar Pradesh,4.8,wet-bulb heat,2.29,High wet-bulb heat hazard (2.3) compounded by high population (4.5M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,4490638,538876,0.782,71.2,75.8
256,Kachchh,Gujarat,4.8,wet-bulb heat,2.05,High wet-bulb heat hazard (2.0) compounded by high population (3.5M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3504124,297840,0.889,85.8,84.2
257,Kaithal,Haryana,4.8,wet-bulb heat,3.06,High wet-bulb heat hazard (3.1) compounded by high population (1.5M) and groundwater stress (0.91).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1535507,138195,0.908,89.7,88.3
258,Sangrur,Punjab,4.8,wet-bulb heat,3.56,High wet-bulb heat hazard (3.6) compounded by high population (3.0M) and groundwater stress (1.00).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2976682,233023,0.929,92.4,98.0
259,Patna,Bihar,4.8,wet-bulb heat,2.21,High wet-bulb heat hazard (2.2) compounded by poor sanitation (61%) and high population (9.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,9107548,1183981,0.756,61.0,80.7
260,Mainpuri,Uttar Pradesh,4.8,wet-bulb heat,2.67,High wet-bulb heat hazard (2.7) compounded by poor sanitation (63%) and high population (2.9M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2878409,339648,0.781,63.1,82.4
261,Gurgaon,Haryana,4.8,wet-bulb heat,3.0,High wet-bulb heat hazard (3.0) compounded by high population (2.7M) and groundwater stress (0.85).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2687247,322471,0.877,84.5,69.7
262,Jhajjar,Haryana,4.79,wet-bulb heat,1.78,High wet-bulb heat hazard (1.8) compounded by high population (2.4M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2421214,203162,0.94,91.7,60.4
263,Fatehpur,Uttar Pradesh,4.79,wet-bulb heat,2.79,High wet-bulb heat hazard (2.8) compounded by poor sanitation (63%) and high population (4.8M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4779049,573486,0.741,63.1,88.5
264,Lucknow,Uttar Pradesh,4.79,flood,2.67,High flood hazard (2.7) compounded by high population (7.7M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,7694144,923298,0.845,80.4,70.8
265,Faizabad,Uttar Pradesh,4.79,wet-bulb heat,2.92,High wet-bulb heat hazard (2.9) compounded by poor sanitation (64%) and high population (3.8M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3763685,451641,0.789,64.4,97.4
266,Karnal,Haryana,4.79,wet-bulb heat,3.45,High wet-bulb heat hazard (3.5) compounded by high population (2.4M) and groundwater stress (0.69).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2392012,238645,0.902,83.5,87.2
267,Kannauj,Uttar Pradesh,4.78,wet-bulb heat,2.51,High wet-bulb heat hazard (2.5) compounded by high population (2.5M) and groundwater stress (0.85).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2506913,297685,0.767,70.1,74.1
268,Tengnoupal,Manipur,4.78,flood,4.56,High flood hazard (4.6) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,39710,3375,0.0,0.0,23.6
269,Ganderbal,Jammu & Kashmir,4.78,cold wave,4.56,High cold wave hazard (4.6).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,493601,46892,0.864,78.4,0.0
270,Unnao,Uttar Pradesh,4.77,wet-bulb heat,2.46,High wet-bulb heat hazard (2.5) compounded by poor sanitation (60%) and high population (4.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4058609,487031,0.734,60.3,83.4
271,Rae Bareli,Uttar Pradesh,4.77,wet-bulb heat,3.0,High wet-bulb heat hazard (3.0) compounded by poor sanitation (55%) and high population (4.8M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4754544,570543,0.744,55.0,96.6
272,Mamit,Mizoram,4.77,flood,4.68,High flood hazard (4.7).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,194190,17476,0.906,92.7,74.5
273,Nadia,West Bengal,4.76,flood,2.93,High flood hazard (2.9) compounded by high population (6.2M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6202013,496161,0.869,78.4,116.6
274,Auraiya,Uttar Pradesh,4.76,wet-bulb heat,3.25,High wet-bulb heat hazard (3.2) compounded by high population (2.1M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2121188,233331,0.821,74.3,88.2
275,Agra,Uttar Pradesh,4.75,wet-bulb heat,2.12,High wet-bulb heat hazard (2.1) compounded by high population (6.6M) and groundwater stress (0.56).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,6634286,788392,0.797,70.8,73.9
276,Ludhiana,Punjab,4.75,wet-bulb heat,3.03,High wet-bulb heat hazard (3.0) compounded by high population (5.7M) and groundwater stress (0.59).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5749743,431229,0.911,84.6,81.6
277,Sri Potti Sriramulu Nellore,Andhra Pradesh,4.75,flood,4.26,High flood hazard (4.3) compounded by high population (4.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,4509117,338182,0.875,81.8,111.0
278,Uttarkashi,Uttarakhand,4.75,cold wave,3.65,High cold wave hazard (3.6).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,689277,58590,0.863,75.7,0.8
279,Sirohi,Rajasthan,4.74,flood,2.9,High flood hazard (2.9) compounded by poor sanitation (54%) and high population (1.8M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,1799626,195624,0.76,54.1,48.1
280,Ambala,Haryana,4.74,flood,4.5,High flood hazard (4.5) compounded by high population (1.4M) and groundwater stress (0.63).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1432574,116300,0.928,87.2,66.8
281,Kurukshetra,Haryana,4.73,wet-bulb heat,3.3,High wet-bulb heat hazard (3.3) compounded by high population (1.8M) and groundwater stress (1.00).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1798595,161873,0.911,82.6,86.1
282,Ratnagiri,Maharashtra,4.73,flood,4.67,High flood hazard (4.7) compounded by poor water access (91%) and high population (2.0M).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,2003351,169480,0.9,85.6,81.0
283,Arwal,Bihar,4.73,wet-bulb heat,2.58,High wet-bulb heat hazard (2.6) compounded by poor sanitation (43%) and high population (1.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1116330,145123,0.69,43.4,103.6
284,Gadchiroli,Maharashtra,4.72,flood,4.01,High flood hazard (4.0) compounded by poor water access (83%) and poor sanitation (62%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1595980,159598,0.789,62.4,96.5
285,Mirzapur,Uttar Pradesh,4.72,wet-bulb heat,2.02,High wet-bulb heat hazard (2.0) compounded by high population (4.8M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,4775234,573027,0.804,72.3,72.1
286,Fatehgarh Sahib,Punjab,4.72,wet-bulb heat,3.75,High wet-bulb heat hazard (3.8) compounded by groundwater stress (0.76).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,833237,62493,0.935,87.6,94.4
287,Barnala,Punjab,4.72,wet-bulb heat,3.58,High wet-bulb heat hazard (3.6) compounded by groundwater stress (1.00).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,649379,50555,0.928,90.7,105.4
288,Pratapgarh,Rajasthan,4.71,wet-bulb heat,2.46,High wet-bulb heat hazard (2.5) compounded by poor sanitation (52%) and high population (6.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,6650484,788630,0.762,52.0,81.3
289,Varanasi,Uttar Pradesh,4.71,wet-bulb heat,2.75,High wet-bulb heat hazard (2.8) compounded by high population (6.5M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,6533260,783992,0.857,83.2,96.5
290,Hisar,Haryana,4.71,wet-bulb heat,2.45,High wet-bulb heat hazard (2.5) compounded by high population (2.4M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2369342,213240,0.918,89.1,86.2
291,Kaushambi,Uttar Pradesh,4.71,wet-bulb heat,2.58,High wet-bulb heat hazard (2.6) compounded by poor sanitation (60%) and high population (2.3M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2264840,271781,0.738,59.6,91.5
292,Bargarh,Odisha,4.7,flood,3.57,High flood hazard (3.6) compounded by poor sanitation (62%) and high population (2.0M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,2031947,177580,0.812,61.9,101.6
293,Dhenkanal,Odisha,4.7,flood,2.02,High flood hazard (2.0) compounded by poor water access (63%) and poor sanitation (58%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1946295,165434,0.728,58.2,85.0
294,Fatehabad,Haryana,4.7,wet-bulb heat,3.03,High wet-bulb heat hazard (3.0) compounded by high population (1.3M) and groundwater stress (0.57).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1285717,115715,0.904,87.3,98.5
295,Jehanabad,Bihar,4.7,wet-bulb heat,2.54,High wet-bulb heat hazard (2.5) compounded by poor sanitation (46%) and high population (1.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1710704,222391,0.713,45.5,102.0
296,Rupnagar,Punjab,4.69,flood,4.25,High flood hazard (4.2) compounded by high population (1.1M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,1097364,82303,0.925,84.0,79.9
297,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,4.69,wet-bulb heat,3.67,High wet-bulb heat hazard (3.7) compounded by high population (2.1M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2073549,248826,0.795,68.8,104.4
298,Rohtas,Bihar,4.68,wet-bulb heat,2.88,High wet-bulb heat hazard (2.9) compounded by high population (5.2M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,5195570,633810,0.808,69.0,107.2
299,Etawah,Uttar Pradesh,4.67,wet-bulb heat,2.65,High wet-bulb heat hazard (2.6) compounded by high population (3.1M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3140768,345485,0.829,78.1,86.3
300,Tarn Taran,Punjab,4.67,wet-bulb heat,3.44,High wet-bulb heat hazard (3.4) compounded by high population (1.4M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1394642,104599,0.88,82.0,97.2
301,East Siang,Arunachal Pradesh,4.67,flood,4.27,High flood hazard (4.3).,Strengthen drainage + emergency WASH response capacity; pre-position ORS and water purification supplies.,91205,8665,0.88,83.9,37.3
302,Chamba,Himachal Pradesh,4.66,cold wave,3.88,High cold wave hazard (3.9) compounded by poor water access (86%).,Night shelters; blanket distribution; hot meal programmes; protect water pipes from freezing.,881393,61697,0.859,86.5,1.8
303,Nalanda,Bihar,4.66,wet-bulb heat,2.15,High wet-bulb heat hazard (2.1) compounded by poor sanitation (52%) and high population (4.6M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4636047,602686,0.705,52.5,88.6
304,Purbi Singhbhum,Jharkhand,4.66,wet-bulb heat,2.59,High wet-bulb heat hazard (2.6) compounded by poor water access (90%) and high population (2.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2716200,295322,0.793,70.2,88.7
305,Jalandhar,Punjab,4.66,wet-bulb heat,3.32,High wet-bulb heat hazard (3.3) compounded by high population (2.6M) and groundwater stress (0.86).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2566364,192477,0.93,88.2,87.5
306,Palakkad,Kerala,4.66,flood,4.53,High flood hazard (4.5) compounded by high population (3.9M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,3897183,253319,0.976,99.0,71.8
307,Bathinda,Punjab,4.66,wet-bulb heat,3.29,High wet-bulb heat hazard (3.3) compounded by high population (2.4M) and groundwater stress (0.66).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2383187,189421,0.902,88.4,104.6
308,Faridkot,Punjab,4.66,wet-bulb heat,3.42,High wet-bulb heat hazard (3.4).,Stock cooling equipment at PHCs; community wet-bulb awareness campaigns.,985186,73889,0.895,87.5,105.1
309,Bhiwani,Haryana,4.64,wet-bulb heat,2.27,High wet-bulb heat hazard (2.3) compounded by high population (2.4M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2406567,216590,0.917,89.7,70.8
310,Mewat,Haryana,4.64,wet-bulb heat,2.19,High wet-bulb heat hazard (2.2) compounded by high population (2.1M) and low adaptive capacity.,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2072643,248718,0.74,71.7,73.6
311,Patiala,Punjab,4.64,wet-bulb heat,3.47,High wet-bulb heat hazard (3.5) compounded by high population (3.2M) and groundwater stress (1.00).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3191005,246497,0.92,88.1,95.0
312,Rewari,Haryana,4.64,wet-bulb heat,1.81,High wet-bulb heat hazard (1.8) compounded by high population (1.1M) and groundwater stress (1.00).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1129810,121926,0.906,86.4,56.6
313,Dhanbad,Jharkhand,4.63,wet-bulb heat,2.17,High wet-bulb heat hazard (2.2) compounded by poor water access (89%) and high population (3.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3689285,424267,0.755,67.6,59.7
314,Doda,Jammu & Kashmir,4.63,cold wave,4.47,High cold wave hazard (4.5).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,459318,43614,0.807,70.9,0.0
315,Bokaro,Jharkhand,4.62,wet-bulb heat,2.26,High wet-bulb heat hazard (2.3) compounded by poor water access (86%) and poor sanitation (64%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3922583,451097,0.743,64.4,62.9
316,Jalaun,Uttar Pradesh,4.61,wet-bulb heat,1.99,High wet-bulb heat hazard (2.0) compounded by high population (2.6M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2563832,282021,0.818,80.2,69.9
317,Muktsar,Punjab,4.61,wet-bulb heat,3.23,High wet-bulb heat hazard (3.2) compounded by high population (1.6M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1574415,120843,0.894,82.9,102.3
318,Chandauli,Uttar Pradesh,4.61,wet-bulb heat,2.46,High wet-bulb heat hazard (2.5) compounded by poor sanitation (67%) and high population (2.7M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2689133,322696,0.782,66.7,91.8
319,Amritsar,Punjab,4.6,wet-bulb heat,3.1,High wet-bulb heat hazard (3.1) compounded by high population (4.0M) and groundwater stress (0.55).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,4034291,302572,0.92,86.0,87.8
320,Sirsa,Haryana,4.6,wet-bulb heat,3.08,High wet-bulb heat hazard (3.1) compounded by high population (1.8M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1837653,165389,0.891,81.9,100.4
321,Bharatpur,Rajasthan,4.59,wet-bulb heat,2.3,High wet-bulb heat hazard (2.3) compounded by poor sanitation (63%) and high population (4.3M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4263366,496523,0.774,62.7,72.9
322,Murshidabad,West Bengal,4.59,wet-bulb heat,2.77,High wet-bulb heat hazard (2.8) compounded by high population (10.8M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,10768482,1228373,0.788,69.7,105.4
323,Kapurthala,Punjab,4.59,wet-bulb heat,3.3,High wet-bulb heat hazard (3.3) compounded by high population (1.8M) and groundwater stress (0.68).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1792520,134438,0.928,87.7,92.1
324,Bhind,Madhya Pradesh,4.59,wet-bulb heat,1.82,High wet-bulb heat hazard (1.8) compounded by high population (2.3M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2276219,250385,0.829,79.9,64.7
325,Sheikhpura,Bihar,4.59,wet-bulb heat,2.13,High wet-bulb heat hazard (2.1) compounded by poor sanitation (54%) and low adaptive capacity.,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,768928,99960,0.718,54.2,82.0
326,Lakhisarai,Bihar,4.58,wet-bulb heat,2.3,High wet-bulb heat hazard (2.3) compounded by poor sanitation (52%) and high population (1.5M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1455071,189160,0.693,51.6,83.8
327,Korba,Chhattisgarh,4.58,wet-bulb heat,2.49,High wet-bulb heat hazard (2.5) compounded by poor water access (82%) and high population (2.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2053975,205397,0.774,73.3,63.0
328,Barmer,Rajasthan,4.56,drought,1.51,High drought hazard (1.5) compounded by high population (4.5M) and groundwater stress (1.00).,Diversify water sources; rainwater harvesting; demand management; MGNREGA drought works.,4515955,518573,0.849,83.6,52.7
329,Fazilka,Punjab,4.56,wet-bulb heat,3.16,High wet-bulb heat hazard (3.2) compounded by high population (1.5M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1453122,122084,0.874,81.8,102.2
330,Singrauli,Madhya Pradesh,4.56,wet-bulb heat,1.95,High wet-bulb heat hazard (1.9) compounded by poor sanitation (53%) and poor water access (78%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2737203,328378,0.669,52.6,50.0
331,Mon,Nagaland,4.56,flood,3.89,High flood hazard (3.9) compounded by poor water access (87%) and low adaptive capacity.,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,406597,38627,0.743,86.4,25.2
332,Hoshiarpur,Punjab,4.56,flood,4.03,High flood hazard (4.0) compounded by high population (2.4M) and groundwater stress (0.52).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,2369071,177680,0.95,89.7,73.2
333,Paschim Barddhaman,West Bengal,4.56,wet-bulb heat,2.51,High wet-bulb heat hazard (2.5) compounded by high population (3.9M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3902942,373697,0.815,71.5,81.0
334,Gaya,Bihar,4.55,wet-bulb heat,2.93,High wet-bulb heat hazard (2.9) compounded by poor sanitation (44%) and high population (6.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,6116006,784747,0.685,44.4,86.6
335,Baloda Bazar,Chhattisgarh,4.55,wet-bulb heat,2.79,High wet-bulb heat hazard (2.8) compounded by high population (1.6M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,1586972,158697,0.819,78.9,88.2
336,Bankura,West Bengal,4.54,flood,2.61,High flood hazard (2.6) compounded by poor sanitation (49%) and high population (6.1M).,Upgrade to flood-resilient sealed sanitation (DEWATS/sealed septic); protect water sources from contamination.,6063841,489569,0.767,49.2,95.9
337,Kaimur (Bhabua),Bihar,4.53,wet-bulb heat,2.5,High wet-bulb heat hazard (2.5) compounded by poor sanitation (59%) and high population (2.8M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2845175,341402,0.758,59.1,100.8
338,Hanumangarh,Rajasthan,4.53,wet-bulb heat,2.22,High wet-bulb heat hazard (2.2) compounded by high population (3.0M) and groundwater stress (0.68).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2983084,279087,0.878,83.8,74.3
339,Gondiya,Maharashtra,4.53,wet-bulb heat,3.47,High wet-bulb heat hazard (3.5) compounded by high population (2.2M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2192170,219218,0.853,74.3,84.0
340,Janjgir-Champa,Chhattisgarh,4.53,wet-bulb heat,3.01,High wet-bulb heat hazard (3.0) compounded by high population (3.2M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,3248425,324843,0.838,78.8,94.5
341,Banka,Bihar,4.53,wet-bulb heat,2.26,High wet-bulb heat hazard (2.3) compounded by poor sanitation (38%) and high population (3.4M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3414806,443924,0.66,38.2,80.3
342,Banda,Uttar Pradesh,4.52,wet-bulb heat,2.22,High wet-bulb heat hazard (2.2) compounded by poor sanitation (59%) and high population (2.9M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2905831,345333,0.747,59.3,75.1
343,Jamui,Bihar,4.52,wet-bulb heat,2.59,High wet-bulb heat hazard (2.6) compounded by poor sanitation (38%) and poor water access (90%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3012980,385267,0.63,37.6,78.4
344,Pherzawl,Mizoram,4.51,flood,4.0,High flood hazard (4.0) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,123998,10585,0.0,0.0,23.5
345,Nayagarh,Odisha,4.51,flood,3.44,High flood hazard (3.4) compounded by poor water access (83%) and poor sanitation (67%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,1594392,135523,0.806,67.1,106.7
346,Pakur,Jharkhand,4.51,wet-bulb heat,2.57,High wet-bulb heat hazard (2.6) compounded by poor sanitation (38%) and poor water access (89%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1343168,137724,0.621,38.3,100.0
347,Nawada,Bihar,4.5,wet-bulb heat,2.3,High wet-bulb heat hazard (2.3) compounded by poor sanitation (48%) and high population (4.0M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4003602,510931,0.703,47.9,84.2
348,Raipur,Chhattisgarh,4.49,wet-bulb heat,2.93,High wet-bulb heat hazard (2.9) compounded by high population (4.0M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,4036426,403643,0.87,84.0,77.2
349,East Godavari,Andhra Pradesh,4.49,flood,2.99,High flood hazard (3.0) compounded by high population (6.5M).,Prioritise flood early warning for dense settlements; child-safe evacuation points.,6451891,483891,0.88,77.7,117.0
350,Jamtara,Jharkhand,4.49,wet-bulb heat,2.29,High wet-bulb heat hazard (2.3) compounded by poor sanitation (53%) and high population (1.9M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1912408,219927,0.69,52.8,67.2
351,Gajapati,Odisha,4.48,wet-bulb heat,4.47,High wet-bulb heat hazard (4.5) compounded by poor water access (78%) and poor sanitation (58%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,816885,73231,0.688,58.3,72.3
352,Durg,Chhattisgarh,4.47,wet-bulb heat,2.89,High wet-bulb heat hazard (2.9) compounded by high population (2.8M).,Restrict outdoor labour during high wet-bulb days; deploy mobile health units with IV fluids.,2836794,283681,0.892,89.5,81.5
353,Dhaulpur,Rajasthan,4.47,wet-bulb heat,2.39,High wet-bulb heat hazard (2.4) compounded by poor sanitation (58%) and high population (2.1M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2131033,245439,0.753,57.5,79.0
354,Ramgarh,Jharkhand,4.47,wet-bulb heat,2.95,High wet-bulb heat hazard (3.0) compounded by poor water access (77%) and poor sanitation (64%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1248073,143528,0.724,64.2,43.0
355,Puruliya,West Bengal,4.46,wet-bulb heat,2.76,High wet-bulb heat hazard (2.8) compounded by poor sanitation (29%) and poor water access (88%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,4866906,559694,0.65,29.2,81.5
356,Chitrakoot,Uttar Pradesh,4.46,wet-bulb heat,2.48,High wet-bulb heat hazard (2.5) compounded by poor sanitation (57%) and high population (2.0M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2008957,233534,0.728,56.7,77.1
357,Nuapada,Odisha,4.45,wet-bulb heat,3.61,High wet-bulb heat hazard (3.6) compounded by poor sanitation (58%) and low adaptive capacity.,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,814443,81445,0.756,58.4,82.1
358,Alwar,Rajasthan,4.45,wet-bulb heat,2.6,High wet-bulb heat hazard (2.6) compounded by poor sanitation (66%) and high population (6.0M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,5961475,688562,0.794,66.0,68.8
359,Kodarma,Jharkhand,4.45,wet-bulb heat,2.69,High wet-bulb heat hazard (2.7) compounded by poor sanitation (54%) and poor water access (84%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1295970,149037,0.719,54.0,58.1
360,Birbhum,West Bengal,4.45,wet-bulb heat,2.23,High wet-bulb heat hazard (2.2) compounded by poor sanitation (55%) and high population (6.0M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,5992004,488368,0.792,55.0,95.4
361,Saitual,Mizoram,4.45,flood,4.45,High flood hazard (4.5) compounded by poor water access (0%) and poor sanitation (0%).,Protect water infrastructure from flood damage; deploy emergency tanker supply protocol.,121329,10919,0.0,0.0,8.2
362,Mahoba,Uttar Pradesh,4.44,wet-bulb heat,2.44,High wet-bulb heat hazard (2.4) compounded by poor sanitation (67%) and high population (1.3M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1338936,147283,0.789,66.7,81.0
363,Rewa,Madhya Pradesh,4.44,wet-bulb heat,2.74,High wet-bulb heat hazard (2.7) compounded by poor sanitation (46%) and poor water access (82%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3452690,411185,0.683,46.1,77.1
364,Badgam,Jammu & Kashmir,4.44,cold wave,3.75,High cold wave hazard (3.8).,Distribute blankets and warm clothing; open night shelters; ensure hot water supply.,953102,90545,0.871,77.0,0.0
365,Deoghar,Jharkhand,4.43,wet-bulb heat,2.6,High wet-bulb heat hazard (2.6) compounded by poor sanitation (42%) and poor water access (91%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,2651705,337262,0.624,41.6,67.7
366,Chatra,Jharkhand,4.42,wet-bulb heat,2.81,High wet-bulb heat hazard (2.8) compounded by poor sanitation (48%) and poor water access (83%).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,1581326,181852,0.659,48.1,63.6
367,Morena,Madhya Pradesh,4.42,wet-bulb heat,2.5,High wet-bulb heat hazard (2.5) compounded by poor sanitation (63%) and high population (3.2M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3154032,346943,0.786,62.7,78.5
368,Palamu,Jharkhand,4.42,wet-bulb heat,2.7,High wet-bulb heat hazard (2.7) compounded by poor sanitation (46%) and high population (3.5M).,Restrict outdoor labour on high wet-bulb days; mobile health units; community awareness.,3477107,399868,0.694,46.3,80.0
